Non-Eco-Friendly Product,Eco-Friendly Option 1,Eco-Friendly Option 2,Eco-Friendly Option 3
Plastic Bottled Water,Reusable Water Bottles,Filtered Water Dispensers,Stainless Steel Water Bottles
Disposable Plastic Straws,Compostable Straws,Reusable Metal Straws,Silicone Straws
Single-Use Plastic Bags,Reusable Cloth Bags,Paper Bags,Mesh Produce Bags
Plastic Wrap,Beeswax Wraps,Silicone Food Covers,Cloth Food Wraps
Disposable Razors,Safety Razors,Electric Razors,Straight Razors
Non-Recyclable Plastic Food Containers,Glass Food Containers,Stainless Steel Food Containers,Silicone Food Containers
Chemical Cleaning Products,Green Cleaning Products,Natural Cleaning Products,Homemade Cleaning Products
Non-Recyclable Plastic Toothbrushes,Bamboo Toothbrushes,Electric Toothbrushes,Recyclable Plastic Toothbrushes
Disposable Plastic Cutlery,Metal Cutlery,Bamboo Cutlery,Edible Cutlery
Plastic Disposable Cups,Reusable Cups,Glass Cups,Paper Cups
Non-Recyclable Plastic Wrap Dispensers,Reusable Wrap Dispensers,Paper Wrap Dispensers,Wooden Wrap Dispensers
Chemical Air Fresheners,Natural Air Fresheners,Essential Oil Diffusers,Indoor Plants
Non-Recyclable Plastic Laundry Detergent Bottles,Refillable Laundry Detergent Containers,Eco-Friendly Laundry Detergent Pods,Laundry Detergent Bars
Non-Recyclable Plastic Pens,Refillable Pens,Fountain Pens,Recycled Paper Pens
Synthetic Sponges,Natural Sponges,Loofahs,Reusable Cleaning Cloths
Non-Recyclable Plastic Lunch Boxes,Stainless Steel Lunch Boxes,Glass Lunch Boxes,Bamboo Lunch Boxes
Non-Recyclable Plastic Food Processor,Manual Food Processor,Electric Food Processor,Handheld Food Processor
Non-Recyclable Plastic Garbage Bags,Compostable Garbage Bags,Reusable Garbage Bags,Recycled Plastic Garbage Bags
Synthetic Carpet,Natural Fiber Carpet,Recycled Carpet,Tile or Hardwood Floors
Non-Recyclable Plastic Tupperware,Glass Tupperware,Stainless Steel Tupperware,Silicone Tupperware
Non-Recyclable Plastic Ziploc Bags,Reusable Silicone Bags,Cloth Bags,Recycled Plastic Bags
Chemical Insecticides,Natural Insecticides,Indoor Plants,Pest Repellent Traps
Non-Recyclable Plastic Food Storage Containers,Glass Food Storage Containers,Stainless Steel Food Storage Containers,Bamboo Food Storage Containers
Non-Recyclable Plastic Disposable Diapers,Cloth Diapers,Biodegradable Disposable Diapers,Elimination Communication
Non-Recyclable Plastic Water Filters,Reusable Water Bottles with Filters,Countertop Water Filters,Pitcher Water Filters
Non-Recyclable Plastic Tissues,Reusable Handkerchiefs,Cloth Tissues,Bamboo Tissues
Synthetic Clothes,Natural Fiber Clothes,Vintage Clothes,Upcycled Clothes
Non-Recyclable Plastic Shower Curtains,Organic Cotton Shower Curtains,Hemp Shower Curtains,Bamboo Shower Curtains
Non-Recyclable Plastic Soap Dispensers,Refillable Soap Dispensers,Bar Soap,Soap Bars in Paper Wrapping
Non-Recyclable Plastic Food Dehydrators,Electric or Solar-Powered Food Dehydrators,Dehydrating in Oven or Sun-Drying,Dehydrating by
Disposable Coffee Cups,Reusable Coffee Cups,Glass Coffee Cups,Stainless Steel Coffee Cups
Non-Recyclable Plastic Baby Bottles,Glass Baby Bottles,Stainless Steel Baby Bottles,Silicone Baby Bottles
Synthetic Air Filters,Natural Air Filters,Indoor Plants,Air Purifying Bags
Non-Recyclable Plastic Food Packaging,Reusable Glass Jars,Stainless Steel Containers,Bamboo Food Wraps
Non-Recyclable Plastic Shampoo Bottles,Shampoo Bars,Refillable Shampoo Bottles,DIY Shampoo
Synthetic Makeup Brushes,Bamboo Makeup Brushes,Recycled Plastic Makeup Brushes,Animal-Hair Makeup Brushes
Non-Recyclable Plastic Contact Lens Cases,Reusable Contact Lens Cases,Silicone Contact Lens Cases,Glass Contact Lens Cases
Non-Recyclable Plastic Tampons,Reusable Menstrual Cups,Washable Cloth Pads,Organic Cotton Tampons
Non-Recyclable Plastic Toothpaste Tubes,Toothpaste Tablets,DIY Toothpaste,Powdered Toothpaste
Synthetic Yoga Mats,Natural Rubber Yoga Mats,Jute Yoga Mats,Cork Yoga Mats
Non-Recyclable Plastic Hairbrushes,Wooden Hairbrushes,Bamboo Hairbrushes,Recycled Plastic Hairbrushes
Non-Recyclable Plastic Food Delivery Containers,Reusable Food Delivery Containers,Compostable Food Delivery Containers,Stainless Steel Food Delivery Containers
Synthetic Bath Mats,Bamboo Bath Mats,Cork Bath Mats,Recycled Plastic Bath Mats
Non-Recyclable Plastic Hangers,Wooden Hangers,Recycled Plastic Hangers,Wire Hangers
Synthetic Oven Mitts,Silicone Oven Mitts,Cloth Oven Mitts,Recycled Cotton Oven Mitts
Non-Recyclable Plastic Bubble Wrap,Recyclable Paper Wrap,Air Pillows,Biodegradable Corn Starch Packing Peanuts
Synthetic Insoles,Cork Insoles,Wool Insoles,Recycled Plastic Insoles
Non-Recyclable Plastic Shower Gel Bottles,Shower Gel Bars,Refillable Shower Gel Bottles,DIY Shower Gel
Synthetic Bath Sponges,Natural Loofahs,Bamboo Bath Brushes,Recycled Plastic Bath Sponges
Non-Recyclable Plastic Food Thermometers,Instant-Read Food Thermometers,Wireless Food Thermometers,Manual Food Thermometers
Synthetic Dish Scrubbers,Natural Dish Brushes,Bamboo Dish Scrubbers,Recycled Plastic Dish Scrubbers
Non-Recyclable Plastic Gift Wrap,Recyclable Wrapping Paper,Furoshiki Wraps,Reusable Fabric Gift Bags
Synthetic Ear Plugs,Silicone Ear Plugs,Recycled Foam Ear Plugs,Cotton Ear Plugs
Non-Recyclable Plastic Trash Cans,Metal Trash Cans,Wooden Trash Cans,Bamboo Trash Cans
Synthetic Bathrobes,Cotton Bathrobes,Bamboo Bathrobes,Recycled Plastic Bathrobes
Non-Recyclable Plastic Dog Toys,Natural Rubber Dog Toys,Recycled Plastic Dog Toys,Hemp Dog Toys
Synthetic Dish Towels,Linen Dish Towels,Cotton Dish Towels,Recycled Cotton Dish Towels
Non-Recyclable Plastic Cutting Boards,Bamboo Cutting Boards,Wooden Cutting Boards,Glass Cutting Boards
Synthetic Window Blinds,Bamboo Window Blinds,Recycled Plastic Window Blinds,Linen Window Blinds
Non-Recyclable Plastic Razors,Safety Razors,Electric Razors,Straight Razors
Synthetic Diapers,Cloth Diapers,Biodegradable Diapers,Compostable Diapers
Non-Recyclable Plastic Garden Hose,Recycled Rubber Garden Hose,Stainless Steel Garden Hose,Expandable Garden Hose
Synthetic Bath Mats,Bamboo Bath Mats,Cork Bath Mats,Recycled Plastic Bath Mats
Non-Recyclable Plastic Laundry Detergent Bottles,Laundry Detergent Sheets,Refillable Laundry Detergent Bottles,DIY Laundry Detergent
Synthetic Pet Beds,Hemp Pet Beds,Recycled Plastic Pet Beds,Bamboo Pet Beds
Non-Recyclable Plastic Light Bulbs,LED Light Bulbs,CFL Light Bulbs,Halogen Light Bulbs
Synthetic Dish Soap,Bar Dish Soap,Refillable Dish Soap Bottle,DIY Dish Soap
Non-Recyclable Plastic Dryer Sheets,Wool Dryer Balls,Bamboo Dryer Sheets,DIY Dryer Sheets
Synthetic Couches,Sustainable Wood Couches,Recycled Plastic Couches,Organic Cotton Couches
Non-Recyclable Plastic Toothbrushes,Bamboo Toothbrushes,Recycled Plastic Toothbrushes,Silicone Toothbrushes
Synthetic Carpet,Organic Cotton Rugs,Bamboo Rugs,Recycled Plastic Rugs
Non-Recyclable Plastic Food Storage Bags,Reusable Silicone Bags,Beeswax Food Wraps,Reusable Cloth Bags
Synthetic Shower Curtains,Linen Shower Curtains,Bamboo Shower Curtains,Recycled Plastic Shower Curtains
Non-Recyclable Plastic Pens,Refillable Pens,Recycled Plastic Pens,Bamboo Pens
Synthetic Running Shoes,Sustainable Running Shoes,Recycled Plastic Running Shoes,Vegan Running Shoes
Non-Recyclable Plastic Shopping Bags,Reusable Shopping Bags,Compostable Shopping Bags,Recycled Plastic Shopping Bags
Synthetic Insulation,Natural Sheep Wool Insulation,Cotton Insulation,Recycled Denim Insulation
Non-Recyclable Plastic Wrap,Beeswax Food Wraps,Silicone Food Wraps,Cloth Food Wraps
Synthetic Pillows,Buckwheat Pillows,Kapok Pillows,Recycled Plastic Pillows
Non-Recyclable Plastic Floss,Refillable Floss Containers,Silk Floss,Bamboo Charcoal Floss
Synthetic Keyboard and Mouse,Bamboo Keyboard and Mouse,Recycled Plastic Keyboard and Mouse,Wireless Keyboard and Mouse
Non-Recyclable Plastic Food Straws,Stainless Steel Straws,Bamboo Straws,Glass Straws
Synthetic Backpacks,Hemp Backpacks,Recycled Plastic Backpacks,Cork Backpacks
Non-Recyclable Plastic Ziplock Bags,Reusable Silicone Bags,Beeswax Food Wraps,Reusable Cloth Bags
Synthetic Fishing Gear,Bamboo Fishing Gear,Recycled Plastic Fishing Gear,Sustainable Fishing Gear
Non-Recyclable Plastic Phone Cases,Biodegradable Phone Cases,Recycled Plastic Phone Cases,Wooden Phone Cases
Synthetic Shower Gel,Bar Soap,Refillable Shower Gel Bottle,DIY Shower Gel
Non-Recyclable Plastic Water Bottles,Stainless Steel Water Bottles,Glass Water Bottles,Reusable Plastic Water Bottles
Synthetic Sunglasses,Wooden Sunglasses,Bamboo Sunglasses,Recycled Plastic Sunglasses
